# Annual estimates of Total Harvest By Fishery Type,,,,,,,,,,
# Type = US_Comm; US_Sport; US_Subsistence,,,,,,,,,,
# US_Comm = Sum of District totals from US Chinook Commercial _ Test fish harvest.csv provided by ADF&G in spring 2021,,,,,,,,,,
# For US_Comm; the column Other includes the sum of test and illegal catches (which are part of the total in the Estimate column),,,,,,,,,,
# US_Subsistence = Using data for Alaska Yukon River Total from  Yukon_Subsistence_Chinook_1961_2019.csv provided by ADF&G in spring 2021,,,,,,,,,,
# NOTE: NEED TO DISCUSS WHETHER TO USE Yukon Area Total (inclusive of Coastal) instead,,,,,,,,,,
# US_Sport = harvest column from Sportfish Harvest.csv provided by ADF&G in spring 2021,,,,,,,,,,
# US_Total = ,,,,,,,,,,
Type,Year,Estimate,SE,p10,p90,Variance,CV,Other,Use,UseNotes
US_Sport,1977,156,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,1978,523,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,1979,554,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,1980,956,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,1981,769,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,1982,1006,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,1983,1048,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,1984,351,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,1985,1368,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,1986,796,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,1987,502,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,1988,944,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,1989,1063,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,1990,544,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,1991,773,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,1992,431,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,1993,1695,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,1994,2281,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,1995,2525,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,1996,3873,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,1997,2174,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,1998,654,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,1999,1023,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,2000,276,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,2001,679,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,2002,486,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,2003,2719,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,2004,1513,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,2005,483,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,2006,739,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,2007,960,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,2008,409,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,2009,863,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,2010,474,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,2011,474,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,2012,345,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,2013,166,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,2014,0,NA,NA,NA,NA,NA,NA,TRUE,TBI
US_Sport,2015,13,NA,NA,NA,NA,NA,NA,TRUE,TBI
