# US Sport Harvest Area breakdown,,,,,,,,,,
Type,Year,Estimate,SE,p10,p90,Variance,CV,Other,Use,UseNotes
US_Sport_Tanana,1996,3746,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Tanana,1997,1953,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Tanana,1998,448,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Tanana,1999,1001,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Tanana,2000,177,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Tanana,2001,667,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Tanana,2002,478,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Tanana,2003,2153,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Tanana,2004,1319,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Tanana,2005,483,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Tanana,2006,638,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Tanana,2007,549,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Tanana,2008,254,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Tanana,2009,836,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Tanana,2010,313,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Tanana,2011,372,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Tanana,2012,114,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Tanana,2013,11,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Tanana,2014,0,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Tanana,2015,13,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Tanana,2016,20,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Tanana,2017,18,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Tanana,2018,200,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,1996,128,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,1997,221,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,1998,208,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,1999,22,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,2000,99,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,2001,12,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,2002,8,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,2003,566,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,2004,194,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,2005,0,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,2006,101,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,2007,411,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,2008,155,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,2009,27,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,2010,161,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,2011,102,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,2012,231,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,2013,155,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,2014,0,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,2015,0,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,2016,0,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,2017,0,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,2018,0,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,2019,0,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,2020,0,NA,NA,NA,NA,NA,NA,TRUE,
US_Sport_Other,2021,0,NA,NA,NA,NA,NA,NA,TRUE,
